Transaction Date,Post Date,Description,Category,Type,Amount
06/14/2026,06/14/2026,ACME PAYROLL,Payment,Payment,1250.00
06/13/2026,06/14/2026,TACO TEMPLE,Food & Drink,Sale,-42.37
06/12/2026,06/13/2026,WHOLE FOODS MARKET,Groceries,Sale,-132.18
06/11/2026,06/12/2026,SHELL OIL 123456,Gas,Sale,-47.52
06/10/2026,06/11/2026,SPOTIFY USA,Entertainment,Sale,-18.99
06/09/2026,06/10/2026,AMAZON MARKETPLACE,Shopping,Sale,-86.44
06/08/2026,06/09/2026,SDGE WEB PAYMENT,Utilities,Sale,-96.42
06/07/2026,06/08/2026,LYFT RIDE,Travel,Sale,-24.66
06/06/2026,06/07/2026,CVS PHARMACY,Health,Sale,-31.20
06/05/2026,06/06/2026,CHASE AUTOPAY PAYMENT,Payment,Payment,480.00
